Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Valeur
"FS","Données de la sécurité alimentaire","2","Afghanistan","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20162018","2016-2018","10.7"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","2058.4"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","-2.8"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2017","2017","2134"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20162018","2016-2018","35.7"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","13860.3"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","-0.28"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2017","2017","2406"
"FS","Données de la sécurité alimentaire","3","Albanie","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20162018","2016-2018","61"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","12771"
"FS","Données de la sécurité alimentaire","3","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","0.38"
"FS","Données de la sécurité alimentaire","3","Albanie","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2017","2017","2490"
"FS","Données de la sécurité alimentaire","4","Algérie","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20162018","2016-2018","25"
"FS","Données de la sécurité alimentaire","4","Algérie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","11737.4"
"FS","Données de la sécurité alimentaire","4","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","-0.92"
"FS","Données de la sécurité alimentaire","4","Algérie","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2017","2017","2289"
"FS","Données de la sécurité alimentaire","79","Allemagne","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20162018","2016-2018","63"
"FS","Données de la sécurité alimentaire","79","Allemagne","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","53071.5"
"FS","Données de la sécurité alimentaire","79","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","0.59"
"FS","Données de la sécurité alimentaire","79","Allemagne","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2017","2017","2545"
"FS","Données de la sécurité alimentaire","6","Andorre","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20162018","2016-2018",""
"FS","Données de la sécurité alimentaire","6","Andorre","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017",""
"FS","Données de la sécurité alimentaire","6","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","1.42"
"FS","Données de la sécurité alimentaire","6","Andorre","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2017","2017",""
"FS","Données de la sécurité alimentaire","7","Angola","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20162018","2016-2018","15.7"
"FS","Données de la sécurité alimentaire","7","Angola","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","7310.9"
"FS","Données de la sécurité alimentaire","7","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","-0.38"
"FS","Données de la sécurité alimentaire","7","Angola","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2017","2017","2105"
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20162018","2016-2018",""
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","19840.3"
