Domaine,Zone,Élément,Produit,Année,Valeur
"Données de la sécurité alimentaire","Afghanistan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-2.8"
"Données de la sécurité alimentaire","Afrique du Sud","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.28"
"Données de la sécurité alimentaire","Albanie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.38"
"Données de la sécurité alimentaire","Algérie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.92"
"Données de la sécurité alimentaire","Allemagne","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.59"
"Données de la sécurité alimentaire","Andorre","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.42"
"Données de la sécurité alimentaire","Angola","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.38"
"Données de la sécurité alimentaire","Antigua-et-Barbuda","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.75"
"Données de la sécurité alimentaire","Arabie saoudite","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.64"
"Données de la sécurité alimentaire","Argentine","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.17"
"Données de la sécurité alimentaire","Arménie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.62"
"Données de la sécurité alimentaire","Australie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.9"
"Données de la sécurité alimentaire","Autriche","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.05"
"Données de la sécurité alimentaire","Azerbaïdjan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.75"
"Données de la sécurité alimentaire","Bahamas","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.99"
"Données de la sécurité alimentaire","Bahreïn","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.96"
"Données de la sécurité alimentaire","Bangladesh","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.26"
"Données de la sécurité alimentaire","Barbade","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.97"
"Données de la sécurité alimentaire","Bélarus","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.05"
"Données de la sécurité alimentaire","Belgique","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.43"
"Données de la sécurité alimentaire","Belize","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.04"
"Données de la sécurité alimentaire","Bénin","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.03"
"Données de la sécurité alimentaire","Bermudes","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1"
"Données de la sécurité alimentaire","Bhoutan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.12"
"Données de la sécurité alimentaire","Bolivie (État plurinational de)","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.28"
"Données de la sécurité alimentaire","Bosnie-Herzégovine","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.35"
"Données de la sécurité alimentaire","Botswana","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.02"
"Données de la sécurité alimentaire","Brésil","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.47"
"Données de la sécurité alimentaire","Brunéi Darussalam","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.16"
"Données de la sécurité alimentaire","Bulgarie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.33"
"Données de la sécurité alimentaire","Burkina Faso","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.93"
"Données de la sécurité alimentaire","Burundi","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-2.01"
"Données de la sécurité alimentaire","Cabo Verde","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.77"
"Données de la sécurité alimentaire","Cambodge","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.09"
"Données de la sécurité alimentaire","Cameroun","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.1"
"Données de la sécurité alimentaire","Canada","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.1"
"Données de la sécurité alimentaire","Chili","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.42"
"Données de la sécurité alimentaire","Chine","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017",""
"Données de la sécurité alimentaire","Chine - RAS de Hong-Kong","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.83"
"Données de la sécurité alimentaire","Chine - RAS de Macao","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.43"
"Données de la sécurité alimentaire","Chine, continentale","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017",""
"Données de la sécurité alimentaire","Chine, Taiwan Province de","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.86"
"Données de la sécurité alimentaire","Chypre","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.54"
"Données de la sécurité alimentaire","Colombie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.77"
"Données de la sécurité alimentaire","Comores","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.04"
"Données de la sécurité alimentaire","Congo","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.53"
"Données de la sécurité alimentaire","Costa Rica","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.61"
"Données de la sécurité alimentaire","Côte d'Ivoire","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.09"
"Données de la sécurité alimentaire","Croatie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.69"
"Données de la sécurité alimentaire","Cuba","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.65"
"Données de la sécurité alimentaire","Danemark","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.87"
"Données de la sécurité alimentaire","Djibouti","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.74"
"Données de la sécurité alimentaire","Dominique","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.2"
"Données de la sécurité alimentaire","Égypte","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.42"
"Données de la sécurité alimentaire","El Salvador","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.26"
"Données de la sécurité alimentaire","Émirats arabes unis","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.62"
"Données de la sécurité alimentaire","Équateur","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.07"
"Données de la sécurité alimentaire","Érythrée","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.73"
"Données de la sécurité alimentaire","Espagne","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.28"
"Données de la sécurité alimentaire","Estonie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.65"
"Données de la sécurité alimentaire","Eswatini","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.27"
"Données de la sécurité alimentaire","États-Unis d'Amérique","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.29"
"Données de la sécurité alimentaire","Éthiopie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.68"
"Données de la sécurité alimentaire","Fédération de Russie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.64"
"Données de la sécurité alimentaire","Fidji","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.62"
"Données de la sécurité alimentaire","Finlande","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.08"
"Données de la sécurité alimentaire","France","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.28"
"Données de la sécurité alimentaire","Gabon","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.1"
"Données de la sécurité alimentaire","Gambie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.08"
"Données de la sécurité alimentaire","Géorgie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.37"
"Données de la sécurité alimentaire","Ghana","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.09"
"Données de la sécurité alimentaire","Grèce","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.07"
"Données de la sécurité alimentaire","Grenade","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.01"
"Données de la sécurité alimentaire","Groenland","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.92"
"Données de la sécurité alimentaire","Guatemala","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.65"
"Données de la sécurité alimentaire","Guinée","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.7"
"Données de la sécurité alimentaire","Guinée équatoriale","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.17"
"Données de la sécurité alimentaire","Guinée-Bissau","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.5"
"Données de la sécurité alimentaire","Guyana","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.04"
"Données de la sécurité alimentaire","Haïti","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.67"
"Données de la sécurité alimentaire","Honduras","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.56"
"Données de la sécurité alimentaire","Hongrie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.81"
"Données de la sécurité alimentaire","Îles Cook","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017",""
"Données de la sécurité alimentaire","Îles Marshall","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.87"
"Données de la sécurité alimentaire","Îles Salomon","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.2"
"Données de la sécurité alimentaire","Inde","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.76"
"Données de la sécurité alimentaire","Indonésie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.5"
"Données de la sécurité alimentaire","Iran (République islamique d')","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.93"
"Données de la sécurité alimentaire","Iraq","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-2.31"
"Données de la sécurité alimentaire","Irlande","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1"
"Données de la sécurité alimentaire","Islande","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.35"
"Données de la sécurité alimentaire","Israël","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.89"
"Données de la sécurité alimentaire","Italie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.31"
"Données de la sécurité alimentaire","Jamaïque","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.31"
"Données de la sécurité alimentaire","Japon","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.11"
"Données de la sécurité alimentaire","Jordanie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.45"
"Données de la sécurité alimentaire","Kazakhstan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.03"
"Données de la sécurité alimentaire","Kenya","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.13"
"Données de la sécurité alimentaire","Kirghizistan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.38"
"Données de la sécurité alimentaire","Kiribati","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.88"
"Données de la sécurité alimentaire","Koweït","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.05"
"Données de la sécurité alimentaire","Lesotho","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.19"
"Données de la sécurité alimentaire","Lettonie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.46"
"Données de la sécurité alimentaire","Liban","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.63"
"Données de la sécurité alimentaire","Libéria","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.33"
"Données de la sécurité alimentaire","Libye","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-2.36"
"Données de la sécurité alimentaire","Lituanie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.78"
"Données de la sécurité alimentaire","Luxembourg","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.33"
"Données de la sécurité alimentaire","Macédoine du Nord","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.25"
"Données de la sécurité alimentaire","Madagascar","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.3"
"Données de la sécurité alimentaire","Malaisie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.12"
"Données de la sécurité alimentaire","Malawi","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.25"
"Données de la sécurité alimentaire","Maldives","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.23"
"Données de la sécurité alimentaire","Mali","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.91"
"Données de la sécurité alimentaire","Malte","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.25"
